image_id,n_objects,mean_area,median_area,mean_eccentricity,mean_solidity,mean_extent,mean_perimeter,mean_intensity,foreground_fraction
train_000.png,9,142.44444444444446,115.0,0.5038531353755188,0.9562776877152948,0.7498956592074472,42.47028215770584,0.2581000609530343,0.019561767578125
train_001.png,26,215.53846153846155,198.0,0.5831451135100131,0.9485522964301395,0.7358569556560719,53.2524086657409,0.24587732496169898,0.08551025390625
train_002.png,15,178.33333333333334,176.0,0.6326370353655794,0.9653307244657732,0.7570361444118981,47.12447327281724,0.241853133837382,0.0408172607421875
train_003.png,28,238.60714285714286,198.0,0.6467834693151103,0.9529906089763976,0.7491534866620508,55.66592451535529,0.2478341901940959,0.1019439697265625
train_004.png,43,307.8139534883721,222.0,0.732337482194467,0.9174442147728907,0.6883011981079679,70.1017449762926,0.25952775395193767,0.20196533203125
train_005.png,15,454.3333333333333,205.0,0.6071824304080259,0.9172596738979378,0.7088514546743718,86.94518993322752,0.2368136485417684,0.1039886474609375
train_006.png,5,181.8,161.0,0.6601054426637517,0.9673722018013603,0.7756730782117778,47.99310242291875,0.2611053854227066,0.0138702392578125
train_007.png,17,191.58823529411765,187.0,0.6691045973962497,0.957147955920247,0.7449889969147344,49.51048719260598,0.24065660641473882,0.0496978759765625
train_008.png,14,215.92857142857142,230.0,0.6389963070780632,0.9644559247224089,0.7490138220519598,52.441486256517386,0.21492029194320952,0.0461273193359375
train_009.png,20,206.05,191.0,0.6357366063749623,0.9620627174086713,0.7553725998431642,50.64873734152917,0.24982598945498466,0.0628814697265625
train_010.png,33,305.24242424242425,204.0,0.6960722952730642,0.9173772246155791,0.6999726950066165,67.67864353079139,0.24630018752632718,0.1537017822265625
train_011.png,17,317.11764705882354,222.0,0.6901525935962269,0.9300995362468119,0.6882341684932519,68.90147266211926,0.25565245835220113,0.0822601318359375
