image_id,label,area,eccentricity,solidity,extent,perimeter,mean_intensity,bbox-0,bbox-1,bbox-2,bbox-3
train_000.png,1,171.0,0.4764089986572842,0.9395604395604396,0.6705882352941176,47.698484809834994,0.2989945411682129,7,90,22,107
train_000.png,2,97.0,0.212624752177695,0.9797979797979798,0.7348484848484849,33.798989873223334,0.28627756237983704,28,172,39,184
train_000.png,3,164.0,0.7028086049281539,0.9534883720930233,0.7420814479638009,47.698484809834994,0.21310117840766907,39,123,52,140
train_000.png,4,115.0,0.7748627939367901,0.9349593495934959,0.696969696969697,40.04163056034261,0.2871614396572113,54,172,69,183
train_000.png,5,98.0,0.3315507238092276,0.98,0.8099173553719008,33.55634918610404,0.2618291974067688,97,221,108,232
train_000.png,6,112.0,0.47408568198305573,0.9333333333333333,0.717948717948718,37.798989873223334,0.19750414788722992,113,235,126,247
train_000.png,7,285.0,0.7983391413419578,0.9193548387096774,0.7289002557544757,67.11269837220809,0.26037636399269104,140,98,163,115
train_000.png,8,97.0,0.5836084416309685,0.9797979797979798,0.8016528925619835,33.55634918610404,0.28060656785964966,186,55,197,66
train_000.png,9,143.0,0.18038907991453695,0.9862068965517241,0.8461538461538461,40.97056274847714,0.23704954981803894,235,154,248,167
train_001.png,1,84.0,0.7440559157258158,0.9545454545454546,0.6942148760330579,32.384776310850235,0.21548596024513245,17,108,28,119
train_001.png,2,170.0,0.46737194617842664,0.9659090909090909,0.8095238095238095,45.798989873223334,0.2851129472255707,18,22,32,37
train_001.png,3,289.0,0.6406834133627551,0.9863481228668942,0.8095238095238095,60.2842712474619,0.26795777678489685,23,161,40,182
train_001.png,4,176.0,0.2393616403421851,0.9617486338797814,0.7822222222222223,47.45584412271571,0.21548675000667572,45,196,60,211
train_001.png,5,330.0,0.600761044651898,0.9565217391304348,0.717391304347826,67.59797974644667,0.30473023653030396,67,104,90,124
train_001.png,6,216.0,0.7810220644846587,0.9310344827586207,0.6857142857142857,56.52691193458118,0.20824605226516724,81,77,96,98
train_001.png,7,82.0,0.7693351282427628,0.9534883720930233,0.7008547008547008,32.384776310850235,0.21275192499160767,87,101,100,110
train_001.png,8,253.0,0.8083562800970061,0.937037037037037,0.7333333333333333,61.11269837220809,0.28530871868133545,94,54,117,69
train_001.png,9,563.0,0.8829213631279246,0.8440779610194903,0.5686868686868687,114.08326112068524,0.28573542833328247,101,223,131,256
train_001.png,10,106.0,0.1922029908547088,0.9724770642201835,0.8760330578512396,35.31370849898476,0.2567000389099121,102,37,113,48
train_001.png,11,311.0,0.3420818156272413,0.9688473520249221,0.7794486215538847,63.11269837220809,0.28015562891960144,106,164,125,185
train_001.png,12,227.0,0.6493765112774185,0.9700854700854701,0.7854671280276817,54.04163056034261,0.28372225165367126,125,157,142,174
train_001.png,13,340.0,0.677580703981887,0.9550561797752809,0.7039337474120083,69.01219330881976,0.30563780665397644,131,206,152,229
train_001.png,14,162.0,0.5176388949988985,0.9700598802395209,0.7714285714285715,44.62741699796952,0.2991093397140503,134,111,149,125
train_001.png,15,67.0,0.7913612419107443,0.9710144927536232,0.8701298701298701,28.485281374238568,0.2068547010421753,136,74,143,85
train_001.png,16,260.0,0.5090464347673217,0.9523809523809523,0.7202216066481995,59.35533905932738,0.2003093957901001,160,74,179,93
train_001.png,17,69.0,0.5781030720317131,0.9324324324324325,0.696969696969697,30.62741699796952,0.19140173494815826,180,174,191,183
train_001.png,18,327.0,0.36963440088185845,0.956140350877193,0.7414965986394558,70.32590180780451,0.1975286602973938,188,78,209,99
train_001.png,19,321.0,0.5172452394096072,0.9727272727272728,0.7295454545454545,64.76955262170047,0.2658369243144989,193,21,213,43
train_001.png,20,162.0,0.5101517598890496,0.9529411764705882,0.72,45.45584412271571,0.20509497821331024,195,120,210,135
train_001.png,21,180.0,0.5950075049226253,0.9574468085106383,0.703125,48.2842712474619,0.20824271440505981,200,142,216,158
train_001.png,22,232.0,0.6962361694821919,0.9666666666666667,0.7733333333333333,55.45584412271571,0.28462985157966614,209,220,224,240
train_001.png,23,125.0,0.4008453935774743,0.9615384615384616,0.6868131868131868,39.45584412271571,0.2779494822025299,216,34,229,48
train_001.png,24,81.0,0.41298557032970146,0.9310344827586207,0.6694214876033058,31.79898987322333,0.18994426727294922,216,81,227,92
train_001.png,25,315.0,0.9017438799012133,0.8118556701030928,0.603448275862069,83.01219330881975,0.22422051429748535,222,166,251,184
train_001.png,26,156.0,0.5666625712032528,0.968944099378882,0.8,43.798989873223334,0.23465636372566223,225,16,238,31
train_002.png,1,117.0,0.6933856180205966,0.9669421487603306,0.7090909090909091,38.62741699796952,0.21079105138778687,8,42,23,53
train_002.png,2,247.0,0.712365572137566,0.9573643410852714,0.7264705882352941,58.2842712474619,0.2657056748867035,13,215,33,232
train_002.png,3,125.0,0.5536551036030722,1.0,0.8741258741258742,38.14213562373095,0.23857757449150085,43,103,54,116
train_002.png,4,264.0,0.46790952704440886,0.9705882352941176,0.8173374613003096,58.2842712474619,0.22962628304958344,72,187,91,204
train_002.png,5,113.0,0.8287310584448287,0.9826086956521739,0.6848484848484848,38.62741699796952,0.24137470126152039,106,18,121,29
train_002.png,6,270.0,0.7023460973012929,0.9642857142857143,0.7563025210084033,59.698484809834994,0.2637031376361847,115,215,136,232
train_002.png,7,214.0,0.5803312264488696,0.981651376146789,0.7867647058823529,51.45584412271571,0.26721060276031494,121,97,137,114
train_002.png,8,175.0,0.44551555723815905,0.9358288770053476,0.6862745098039216,49.11269837220809,0.20312626659870148,132,119,147,136
train_002.png,9,176.0,0.7711828853627205,0.9312169312169312,0.7125506072874493,51.11269837220809,0.29305514693260193,150,101,169,114
train_002.png,10,264.0,0.48049164935176064,0.974169741697417,0.8173374613003096,57.45584412271571,0.21809232234954834,158,208,177,225
train_002.png,11,74.0,0.7017547673229582,0.9367088607594937,0.7474747474747475,30.97056274847714,0.18885117769241333,177,43,186,54
train_002.png,12,262.0,0.7422958642267113,0.9703703703703703,0.7257617728531855,59.11269837220809,0.2077561616897583,188,149,207,168
train_002.png,13,81.0,0.5983881475232762,1.0,0.8181818181818182,30.14213562373095,0.26688259840011597,196,68,207,77
train_002.png,14,112.0,0.6691811062953519,0.9655172413793104,0.7832167832167832,36.970562748477136,0.25079503655433655,208,170,221,181
train_002.png,15,181.0,0.5420213501621185,0.9427083333333334,0.7098039215686275,48.8700576850888,0.2822492718696594,236,236,251,253
train_003.png,1,127.0,0.7051402894283999,0.9694656488549618,0.7514792899408284,39.79898987322333,0.27067840099334717,8,26,21,39
